dataset,n,m,metodo,tiempo,costo,memoria,vecindad,iteraciones
sol_optimas,225,25200.0,TABU_CICLOS 160 30 300,2345.86,3978,160,30,300
sol_optimas,225,25200.0,TABU_CICLOS 160 35 300,2732.42,4012,160,35,300
sol_optimas,225,25200.0,TABU_CICLOS 160 40 300,3195.56,4020,160,40,300
sol_optimas,225,25200.0,TABU_CICLOS 160 45 300,3664.31,4054,160,45,300
sol_optimas,225,25200.0,TABU_CICLOS 160 50 300,3986.89,4041,160,50,300
sol_optimas,225,25200.0,TABU_CICLOS 160 55 300,3842.57,3993,160,55,300
sol_optimas,225,25200.0,TABU_CICLOS 160 60 300,3693.0,4055,160,60,300
sol_optimas,225,25200.0,TABU_CICLOS 160 65 300,5846.6,3999,160,65,300
sol_optimas,225,25200.0,TABU_CICLOS 160 70 300,6375.53,3999,160,70,300
sol_optimas,225,25200.0,TABU_CICLOS 160 75 300,5136.49,3967,160,75,300
sol_optimas,225,25200.0,TABU_CICLOS 160 80 300,5461.09,3967,160,80,300
sol_optimas,225,25200.0,TABU_CICLOS 160 85 300,5850.99,3967,160,85,300
sol_optimas,225,25200.0,TABU_CICLOS 160 90 300,6356.85,3998,160,90,300
sol_optimas,225,25200.0,TABU_CICLOS 160 95 300,5972.87,3998,160,95,300
sol_optimas,225,25200.0,TABU_CICLOS 160 100 300,6737.34,3998,160,100,300
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 5 300,244.261,4115,160,5,300
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 10 300,283.814,4037,160,10,300
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 15 300,322.607,4186,160,15,300
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 20 300,359.289,3965,160,20,300
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 25 300,400.1,4063,160,25,300
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 30 300,437.905,4009,160,30,300
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 35 300,508.179,4016,160,35,300
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 40 300,521.66,4020,160,40,300
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 45 300,555.345,4036,160,45,300
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 50 300,595.049,4041,160,50,300
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 55 300,666.959,4023,160,55,300
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 60 300,678.699,4073,160,60,300
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 65 300,714.098,4004,160,65,300
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 70 300,793.321,4004,160,70,300
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 75 300,836.784,3993,160,75,300
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 80 300,874.605,3993,160,80,300
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 85 300,914.517,3993,160,85,300
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 90 300,953.185,4009,160,90,300
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 95 300,990.643,4009,160,95,300
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 100 300,1032.72,4009,160,100,300
sol_optimas,299,44551.0,TABU_CICLOS 160 5 300,953.704,49943,160,5,300
sol_optimas,299,44551.0,TABU_CICLOS 160 10 300,1677.91,50819,160,10,300
sol_optimas,299,44551.0,TABU_CICLOS 160 15 300,2348.57,51061,160,15,300
sol_optimas,299,44551.0,TABU_CICLOS 160 20 300,3133.77,50443,160,20,300
sol_optimas,299,44551.0,TABU_CICLOS 160 25 300,3964.03,50063,160,25,300
sol_optimas,299,44551.0,TABU_CICLOS 160 30 300,4666.02,51701,160,30,300
sol_optimas,299,44551.0,TABU_CICLOS 160 35 300,5736.3,51438,160,35,300
sol_optimas,299,44551.0,TABU_CICLOS 160 40 300,6671.07,51747,160,40,300
sol_optimas,299,44551.0,TABU_CICLOS 160 45 300,7512.54,51747,160,45,300
sol_optimas,299,44551.0,TABU_CICLOS 160 50 300,8368.3,51798,160,50,300
sol_optimas,299,44551.0,TABU_CICLOS 160 55 300,8474.96,49766,160,55,300
sol_optimas,299,44551.0,TABU_CICLOS 160 60 300,9082.24,50639,160,60,300
sol_optimas,299,44551.0,TABU_CICLOS 160 65 300,9741.07,50615,160,65,300
sol_optimas,299,44551.0,TABU_CICLOS 160 70 300,10431.5,50639,160,70,300
sol_optimas,299,44551.0,TABU_CICLOS 160 75 300,11492.9,50567,160,75,300
sol_optimas,299,44551.0,TABU_CICLOS 160 80 300,13571.0,51789,160,80,300
sol_optimas,299,44551.0,TABU_CICLOS 160 85 300,13914.2,51789,160,85,300
sol_optimas,299,44551.0,TABU_CICLOS 160 90 300,15074.1,51789,160,90,300
sol_optimas,299,44551.0,TABU_CICLOS 160 95 300,15695.3,51789,160,95,300
sol_optimas,299,44551.0,TABU_CICLOS 160 100 300,16965.2,51789,160,100,300
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 5 300,433.659,50877,160,5,300
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 10 300,500.214,51836,160,10,300
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 15 300,564.792,51254,160,15,300
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 20 300,629.483,50680,160,20,300
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 25 300,703.484,50168,160,25,300
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 30 300,765.602,51802,160,30,300
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 35 300,827.536,51377,160,35,300
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 40 300,920.49,51789,160,40,300
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 45 300,968.856,51789,160,45,300
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 50 300,1039.41,51845,160,50,300
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 55 300,1093.95,49927,160,55,300
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 60 300,1198.5,50806,160,60,300
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 65 300,1227.84,50675,160,65,300
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 70 300,1295.88,50675,160,70,300
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 75 300,1492.61,50603,160,75,300
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 80 300,1570.82,51845,160,80,300
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 85 300,1635.82,52001,160,85,300
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 90 300,1704.96,51789,160,90,300
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 95 300,1773.81,51789,160,95,300
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 100 300,1845.75,51789,160,100,300
sol_optimas,195,18915.0,TABU_CICLOS 160 5 300,343.774,2459,160,5,300
sol_optimas,195,18915.0,TABU_CICLOS 160 10 300,637.48,2468,160,10,300
sol_optimas,195,18915.0,TABU_CICLOS 160 15 300,951.279,2461,160,15,300
sol_optimas,195,18915.0,TABU_CICLOS 160 20 300,1183.07,2492,160,20,300
sol_optimas,195,18915.0,TABU_CICLOS 160 25 300,1398.03,2445,160,25,300
sol_optimas,195,18915.0,TABU_CICLOS 160 30 300,1635.87,2424,160,30,300
sol_optimas,195,18915.0,TABU_CICLOS 160 35 300,2070.69,2453,160,35,300
sol_optimas,195,18915.0,TABU_CICLOS 160 40 300,2244.76,2444,160,40,300
