dataset,n,m,metodo,tiempo,costo,tp
grafo-euleriano,147,10731.0,TABU_CICLOS 160 25 300,728.501,61286,TSP_GA
grafo-euleriano,147,10731.0,TABU_ESTRUCTURA 160 25 300,209.853,61375,TSP_GA
grafo-euleriano,150,11175.0,TABU_CICLOS 160 25 300,624.838,60203,TSP_GA
grafo-euleriano,150,11175.0,TABU_ESTRUCTURA 160 25 300,215.57,60277,TSP_GA
grafo-euleriano,153,11628.0,TABU_CICLOS 160 25 300,665.014,37932,TSP_GA
grafo-euleriano,153,11628.0,TABU_ESTRUCTURA 160 25 300,223.206,37973,TSP_GA
grafo-euleriano,156,12090.0,TABU_CICLOS 160 25 300,697.69,47921,TSP_GA
grafo-euleriano,156,12090.0,TABU_ESTRUCTURA 160 25 300,236.351,47981,TSP_GA
grafo-euleriano,159,12561.0,TABU_CICLOS 160 25 300,750.484,53336,TSP_GA
grafo-euleriano,159,12561.0,TABU_ESTRUCTURA 160 25 300,238.526,53356,TSP_GA
grafo-euleriano,162,13041.0,TABU_CICLOS 160 25 300,921.078,66335,TSP_GA
grafo-euleriano,162,13041.0,TABU_ESTRUCTURA 160 25 300,250.673,66411,TSP_GA
grafo-euleriano,165,13530.0,TABU_CICLOS 160 25 300,866.858,75779,TSP_GA
grafo-euleriano,165,13530.0,TABU_ESTRUCTURA 160 25 300,261.407,75897,TSP_GA
grafo-euleriano,168,14028.0,TABU_CICLOS 160 25 300,822.49,39186,TSP_GA
grafo-euleriano,168,14028.0,TABU_ESTRUCTURA 160 25 300,265.109,39246,TSP_GA
grafo-euleriano,171,14535.0,TABU_CICLOS 160 25 300,831.871,35517,TSP_GA
grafo-euleriano,171,14535.0,TABU_ESTRUCTURA 160 25 300,272.444,35519,TSP_GA
grafo-euleriano,174,15051.0,TABU_CICLOS 160 25 300,945.904,57347,TSP_GA
grafo-euleriano,174,15051.0,TABU_ESTRUCTURA 160 25 300,285.158,57392,TSP_GA
grafo-euleriano,177,15576.0,TABU_CICLOS 160 25 300,926.452,51144,TSP_GA
grafo-euleriano,177,15576.0,TABU_ESTRUCTURA 160 25 300,293.59,51194,TSP_GA
grafo-euleriano,180,16110.0,TABU_CICLOS 160 25 300,1015.8,61488,TSP_GA
grafo-euleriano,180,16110.0,TABU_ESTRUCTURA 160 25 300,301.668,61498,TSP_GA
grafo-euleriano,183,16653.0,TABU_CICLOS 160 25 300,971.51,89747,TSP_GA
grafo-euleriano,183,16653.0,TABU_ESTRUCTURA 160 25 300,315.528,89851,TSP_GA
grafo-euleriano,186,17205.0,TABU_CICLOS 160 25 300,1045.82,64567,TSP_GA
grafo-euleriano,186,17205.0,TABU_ESTRUCTURA 160 25 300,329.741,64551,TSP_GA
grafo-euleriano,189,17766.0,TABU_CICLOS 160 25 300,1121.01,73277,TSP_GA
grafo-euleriano,189,17766.0,TABU_ESTRUCTURA 160 25 300,343.984,73488,TSP_GA
grafo-euleriano,192,18336.0,TABU_CICLOS 160 25 300,1099.26,45048,TSP_GA
grafo-euleriano,192,18336.0,TABU_ESTRUCTURA 160 25 300,349.004,45070,TSP_GA
grafo-euleriano,195,18915.0,TABU_CICLOS 160 25 300,1124.68,58254,TSP_GA
grafo-euleriano,195,18915.0,TABU_ESTRUCTURA 160 25 300,356.004,58327,TSP_GA
grafo-euleriano,198,19503.0,TABU_CICLOS 160 25 300,1415.71,56902,TSP_GA
grafo-euleriano,198,19503.0,TABU_ESTRUCTURA 160 25 300,366.332,56960,TSP_GA
grafo-euleriano,201,20100.0,TABU_CICLOS 160 25 300,1180.41,53873,TSP_GA
grafo-euleriano,201,20100.0,TABU_ESTRUCTURA 160 25 300,412.964,53896,TSP_GA
grafo-euleriano,204,20706.0,TABU_CICLOS 160 25 300,1289.19,67905,TSP_GA
grafo-euleriano,204,20706.0,TABU_ESTRUCTURA 160 25 300,406.737,68009,TSP_GA
grafo-euleriano,207,21321.0,TABU_CICLOS 160 25 300,1612.43,44157,TSP_GA
grafo-euleriano,207,21321.0,TABU_ESTRUCTURA 160 25 300,404.547,44168,TSP_GA
grafo-euleriano,210,21945.0,TABU_CICLOS 160 25 300,1370.96,43941,TSP_GA
grafo-euleriano,210,21945.0,TABU_ESTRUCTURA 160 25 300,406.873,43973,TSP_GA
grafo-euleriano,213,22578.0,TABU_CICLOS 160 25 300,1699.88,58761,TSP_GA
grafo-euleriano,213,22578.0,TABU_ESTRUCTURA 160 25 300,440.155,58856,TSP_GA
grafo-euleriano,216,23220.0,TABU_CICLOS 160 25 300,1421.98,94259,TSP_GA
grafo-euleriano,216,23220.0,TABU_ESTRUCTURA 160 25 300,435.4,94393,TSP_GA
grafo-euleriano,219,23871.0,TABU_CICLOS 160 25 300,1432.43,89245,TSP_GA
grafo-euleriano,219,23871.0,TABU_ESTRUCTURA 160 25 300,460.625,89298,TSP_GA
grafo-euleriano,222,24531.0,TABU_CICLOS 160 25 300,1448.18,65250,TSP_GA
grafo-euleriano,222,24531.0,TABU_ESTRUCTURA 160 25 300,477.455,65314,TSP_GA
grafo-euleriano,225,25200.0,TABU_CICLOS 160 25 300,1612.75,76154,TSP_GA
grafo-euleriano,225,25200.0,TABU_ESTRUCTURA 160 25 300,470.02,76233,TSP_GA
grafo-euleriano,228,25878.0,TABU_CICLOS 160 25 300,1584.48,52324,TSP_GA
grafo-euleriano,228,25878.0,TABU_ESTRUCTURA 160 25 300,475.777,52393,TSP_GA
grafo-euleriano,231,26565.0,TABU_CICLOS 160 25 300,1656.48,116711,TSP_GA
grafo-euleriano,231,26565.0,TABU_ESTRUCTURA 160 25 300,502.312,116854,TSP_GA
grafo-euleriano,234,27261.0,TABU_CICLOS 160 25 300,1745.84,70022,TSP_GA
grafo-euleriano,234,27261.0,TABU_ESTRUCTURA 160 25 300,502.103,70049,TSP_GA
grafo-euleriano,237,27966.0,TABU_CICLOS 160 25 300,1758.03,68694,TSP_GA
grafo-euleriano,237,27966.0,TABU_ESTRUCTURA 160 25 300,511.751,68754,TSP_GA
grafo-euleriano,240,28680.0,TABU_CICLOS 160 25 300,1755.66,119036,TSP_GA
grafo-euleriano,240,28680.0,TABU_ESTRUCTURA 160 25 300,529.115,119135,TSP_GA
grafo-euleriano,243,29403.0,TABU_CICLOS 160 25 300,1818.96,95021,TSP_GA
