dataset,n,m,metodo,tiempo,costo,tp
grafo-euleriano,162,13041.0,TABU_ESTRUCTURA 160 25 300,245.883,66993,TSP_INS
grafo-euleriano,165,13530.0,TABU_CICLOS 160 25 300,742.308,76312,TSP_INS
grafo-euleriano,165,13530.0,TABU_ESTRUCTURA 160 25 300,254.232,76583,TSP_INS
grafo-euleriano,168,14028.0,TABU_CICLOS 160 25 300,861.428,39394,TSP_INS
grafo-euleriano,168,14028.0,TABU_ESTRUCTURA 160 25 300,263.038,39501,TSP_INS
grafo-euleriano,171,14535.0,TABU_CICLOS 160 25 300,802.517,35705,TSP_INS
grafo-euleriano,171,14535.0,TABU_ESTRUCTURA 160 25 300,271.692,35908,TSP_INS
grafo-euleriano,174,15051.0,TABU_CICLOS 160 25 300,883.961,57634,TSP_INS
grafo-euleriano,174,15051.0,TABU_ESTRUCTURA 160 25 300,286.185,57738,TSP_INS
grafo-euleriano,177,15576.0,TABU_CICLOS 160 25 300,1002.74,51384,TSP_INS
grafo-euleriano,177,15576.0,TABU_ESTRUCTURA 160 25 300,290.521,51707,TSP_INS
grafo-euleriano,180,16110.0,TABU_CICLOS 160 25 300,1109.43,61923,TSP_INS
grafo-euleriano,180,16110.0,TABU_ESTRUCTURA 160 25 300,301.06,62095,TSP_INS
grafo-euleriano,183,16653.0,TABU_CICLOS 160 25 300,938.519,90198,TSP_INS
grafo-euleriano,183,16653.0,TABU_ESTRUCTURA 160 25 300,338.715,90278,TSP_INS
grafo-euleriano,186,17205.0,TABU_CICLOS 160 25 300,1061.1,64953,TSP_INS
grafo-euleriano,186,17205.0,TABU_ESTRUCTURA 160 25 300,351.818,65119,TSP_INS
grafo-euleriano,189,17766.0,TABU_CICLOS 160 25 300,1060.31,73639,TSP_INS
grafo-euleriano,189,17766.0,TABU_ESTRUCTURA 160 25 300,366.943,73845,TSP_INS
grafo-euleriano,192,18336.0,TABU_CICLOS 160 25 300,1249.23,45318,TSP_INS
grafo-euleriano,192,18336.0,TABU_ESTRUCTURA 160 25 300,371.486,45485,TSP_INS
grafo-euleriano,195,18915.0,TABU_CICLOS 160 25 300,1085.25,58643,TSP_INS
grafo-euleriano,195,18915.0,TABU_ESTRUCTURA 160 25 300,381.499,58791,TSP_INS
grafo-euleriano,198,19503.0,TABU_CICLOS 160 25 300,1100.45,57238,TSP_INS
grafo-euleriano,198,19503.0,TABU_ESTRUCTURA 160 25 300,398.169,57404,TSP_INS
grafo-euleriano,201,20100.0,TABU_CICLOS 160 25 300,1147.52,54161,TSP_INS
grafo-euleriano,201,20100.0,TABU_ESTRUCTURA 160 25 300,403.192,54355,TSP_INS
grafo-euleriano,204,20706.0,TABU_CICLOS 160 25 300,1269.36,68334,TSP_INS
grafo-euleriano,204,20706.0,TABU_ESTRUCTURA 160 25 300,411.613,68513,TSP_INS
grafo-euleriano,207,21321.0,TABU_CICLOS 160 25 300,1447.99,44386,TSP_INS
grafo-euleriano,207,21321.0,TABU_ESTRUCTURA 160 25 300,423.378,44559,TSP_INS
grafo-euleriano,210,21945.0,TABU_CICLOS 160 25 300,1325.69,44152,TSP_INS
grafo-euleriano,210,21945.0,TABU_ESTRUCTURA 160 25 300,449.652,44298,TSP_INS
grafo-euleriano,213,22578.0,TABU_CICLOS 160 25 300,1318.81,59171,TSP_INS
grafo-euleriano,213,22578.0,TABU_ESTRUCTURA 160 25 300,442.553,59312,TSP_INS
grafo-euleriano,216,23220.0,TABU_CICLOS 160 25 300,1322.1,94800,TSP_INS
grafo-euleriano,216,23220.0,TABU_ESTRUCTURA 160 25 300,453.835,95056,TSP_INS
grafo-euleriano,219,23871.0,TABU_CICLOS 160 25 300,1588.85,89724,TSP_INS
grafo-euleriano,219,23871.0,TABU_ESTRUCTURA 160 25 300,471.406,89971,TSP_INS
grafo-euleriano,222,24531.0,TABU_CICLOS 160 25 300,1436.12,65587,TSP_INS
grafo-euleriano,222,24531.0,TABU_ESTRUCTURA 160 25 300,476.54,65675,TSP_INS
grafo-euleriano,225,25200.0,TABU_CICLOS 160 25 300,1732.51,76610,TSP_INS
grafo-euleriano,225,25200.0,TABU_ESTRUCTURA 160 25 300,489.667,76795,TSP_INS
grafo-euleriano,228,25878.0,TABU_CICLOS 160 25 300,1717.47,52686,TSP_INS
