dataset,n,m,metodo,tiempo,costo,gap
sol_optimas,200,19900.0,GA,83.35746666666667,35975,22.210143696708215
sol_optimas,144,10296.0,INS,4.2114433333333325,73032,24.762116268343107
sol_optimas,144,10296.0,AGM,1.1524466666666668,77924,33.11922373883186
sol_optimas,144,10296.0,GA,32.764833333333335,65844,12.482703247518657
sol_optimas,724,261726.0,INS,469.686,50233,19.85922214268672
sol_optimas,724,261726.0,AGM,18.278466666666667,57801,37.916964924838936
sol_optimas,724,261726.0,GA,3215.4933333333333,50786,21.178716296826522
sol_optimas,561,157080.0,INS,168.99733333333333,3456,25.081433224755685
sol_optimas,561,157080.0,AGM,8.22219,3968,43.612015924719515
sol_optimas,561,157080.0,GA,876.0080000000002,3317,20.050669562070226
sol_optimas,318,50403.0,INS,30.913166666666665,49536,19.811343572378775
sol_optimas,318,50403.0,AGM,3.850633333333333,57662,39.46547345507315
sol_optimas,318,50403.0,GA,168.69833333333332,49821,20.500665134840972
sol_optimas,2319,2687721.0,INS,27828.0,256442,9.470835325455923
sol_optimas,2319,2687721.0,AGM,288.029,339129,44.768543815313166
sol_optimas,2319,2687721.0,GA,58596.13333333333,274127,17.020268424287963
sol_optimas,2392,2859636.0,INS,15387.333333333334,459431,21.532304143564573
sol_optimas,2392,2859636.0,AGM,209.04866666666666,518220,37.08363313158674
sol_optimas,2392,2859636.0,GA,83595.13333333333,446713,18.16803868455581
sol_optimas,1000,499500.0,INS,1713.4433333333334,22590582,21.06623647726586
sol_optimas,1000,499500.0,AGM,50.661300000000004,25087264,34.4463208602416
sol_optimas,1000,499500.0,GA,6186.639999999999,21706226,16.32684319266218
sol_optimas,150,11175.0,INS,7.193973333333335,29705,11.99291207962601
sol_optimas,150,11175.0,AGM,1.3922866666666665,35119,32.40461468858393
sol_optimas,150,11175.0,GA,29.218266666666665,31892,20.2382747700196
sol_optimas,100,4950.0,INS,1.1583966666666667,24243,13.913166055821819
sol_optimas,100,4950.0,AGM,0.523526,27210,27.854524950662537
sol_optimas,100,4950.0,GA,13.765533333333332,24195,13.687623343670708
sol_optimas,14,91.0,INS,0.015413999999999999,3426,3.0996087872404416
sol_optimas,14,91.0,AGM,0.019259333333333333,3814,14.775804995486013
sol_optimas,14,91.0,GA,0.139373,3889,17.032801685224186
sol_optimas,159,12561.0,INS,5.371733333333334,50007,18.837927756653983
sol_optimas,159,12561.0,AGM,1.060903,57865,37.51188212927755
sol_optimas,159,12561.0,GA,29.677333333333337,49155,16.813212927756666
sol_optimas,1655,1368685.0,INS,4164.586666666667,72632,16.90703064640742
sol_optimas,1655,1368685.0,AGM,94.07913333333333,86776,39.672933298995616
