dataset,n,m,metodo,tiempo,costo,tp
grafo-euleriano,147,10731.0,TABU_ESTRUCTURA 160 25 300,340.363,61565,TSP_AGM
grafo-euleriano,150,11175.0,TABU_CICLOS 160 25 300,1053.96,60487,TSP_AGM
grafo-euleriano,150,11175.0,TABU_ESTRUCTURA 160 25 300,335.559,60503,TSP_AGM
grafo-euleriano,153,11628.0,TABU_CICLOS 160 25 300,1166.6,38023,TSP_AGM
grafo-euleriano,153,11628.0,TABU_ESTRUCTURA 160 25 300,313.715,38147,TSP_AGM
grafo-euleriano,156,12090.0,TABU_CICLOS 160 25 300,978.128,48051,TSP_AGM
grafo-euleriano,156,12090.0,TABU_ESTRUCTURA 160 25 300,332.974,48272,TSP_AGM
grafo-euleriano,159,12561.0,TABU_CICLOS 160 25 300,903.211,53383,TSP_AGM
grafo-euleriano,159,12561.0,TABU_ESTRUCTURA 160 25 300,257.582,53536,TSP_AGM
grafo-euleriano,162,13041.0,TABU_CICLOS 160 25 300,871.818,66576,TSP_AGM
grafo-euleriano,162,13041.0,TABU_ESTRUCTURA 160 25 300,260.236,66788,TSP_AGM
grafo-euleriano,165,13530.0,TABU_CICLOS 160 25 300,863.346,75946,TSP_AGM
grafo-euleriano,165,13530.0,TABU_ESTRUCTURA 160 25 300,271.264,76243,TSP_AGM
grafo-euleriano,168,14028.0,TABU_CICLOS 160 25 300,937.113,39306,TSP_AGM
grafo-euleriano,168,14028.0,TABU_ESTRUCTURA 160 25 300,269.124,39379,TSP_AGM
grafo-euleriano,171,14535.0,TABU_CICLOS 160 25 300,923.418,35603,TSP_AGM
grafo-euleriano,171,14535.0,TABU_ESTRUCTURA 160 25 300,295.097,35660,TSP_AGM
grafo-euleriano,174,15051.0,TABU_CICLOS 160 25 300,1195.47,57464,TSP_AGM
grafo-euleriano,174,15051.0,TABU_ESTRUCTURA 160 25 300,296.605,57649,TSP_AGM
grafo-euleriano,177,15576.0,TABU_CICLOS 160 25 300,1059.16,51244,TSP_AGM
grafo-euleriano,177,15576.0,TABU_ESTRUCTURA 160 25 300,330.696,51360,TSP_AGM
grafo-euleriano,180,16110.0,TABU_CICLOS 160 25 300,1095.46,61600,TSP_AGM
grafo-euleriano,180,16110.0,TABU_ESTRUCTURA 160 25 300,327.555,61669,TSP_AGM
grafo-euleriano,183,16653.0,TABU_CICLOS 160 25 300,1181.83,89942,TSP_AGM
grafo-euleriano,183,16653.0,TABU_ESTRUCTURA 160 25 300,318.829,90063,TSP_AGM
grafo-euleriano,186,17205.0,TABU_CICLOS 160 25 300,1238.75,64699,TSP_AGM
grafo-euleriano,186,17205.0,TABU_ESTRUCTURA 160 25 300,342.13,64871,TSP_AGM
grafo-euleriano,189,17766.0,TABU_CICLOS 160 25 300,1160.03,73415,TSP_AGM
grafo-euleriano,189,17766.0,TABU_ESTRUCTURA 160 25 300,363.711,73641,TSP_AGM
grafo-euleriano,192,18336.0,TABU_CICLOS 160 25 300,1270.47,45132,TSP_AGM
grafo-euleriano,192,18336.0,TABU_ESTRUCTURA 160 25 300,344.041,45254,TSP_AGM
grafo-euleriano,195,18915.0,TABU_CICLOS 160 25 300,1220.93,58395,TSP_AGM
grafo-euleriano,195,18915.0,TABU_ESTRUCTURA 160 25 300,383.771,58520,TSP_AGM
grafo-euleriano,198,19503.0,TABU_CICLOS 160 25 300,1370.13,56959,TSP_AGM
grafo-euleriano,198,19503.0,TABU_ESTRUCTURA 160 25 300,364.426,57091,TSP_AGM
grafo-euleriano,201,20100.0,TABU_CICLOS 160 25 300,1311.22,54026,TSP_AGM
grafo-euleriano,201,20100.0,TABU_ESTRUCTURA 160 25 300,388.404,54030,TSP_AGM
grafo-euleriano,204,20706.0,TABU_CICLOS 160 25 300,1382.84,68101,TSP_AGM
grafo-euleriano,204,20706.0,TABU_ESTRUCTURA 160 25 300,377.886,68226,TSP_AGM
grafo-euleriano,207,21321.0,TABU_CICLOS 160 25 300,1421.06,44250,TSP_AGM
grafo-euleriano,207,21321.0,TABU_ESTRUCTURA 160 25 300,524.515,44345,TSP_AGM
grafo-euleriano,210,21945.0,TABU_CICLOS 160 25 300,1870.87,44128,TSP_AGM
grafo-euleriano,210,21945.0,TABU_ESTRUCTURA 160 25 300,543.055,44140,TSP_AGM
grafo-euleriano,213,22578.0,TABU_CICLOS 160 25 300,1907.81,58936,TSP_AGM
grafo-euleriano,213,22578.0,TABU_ESTRUCTURA 160 25 300,614.803,58950,TSP_AGM
grafo-euleriano,216,23220.0,TABU_CICLOS 160 25 300,1859.84,94514,TSP_AGM
grafo-euleriano,216,23220.0,TABU_ESTRUCTURA 160 25 300,571.857,94675,TSP_AGM
