dataset,n,m,metodo,tiempo,costo,gap,tp
sol_optimas,657,215496.0,TABU_CICLOS 160 25 300,31819.4,51622,5.540562643114157,TSP_AGM
sol_optimas,657,215496.0,TABU_ESTRUCTURA 160 25 300,4715.19,51756,5.814524043179588,TSP_AGM
sol_optimas,29,406.0,TABU_CICLOS 160 25 300,40.2399,1638,1.739130434782595,TSP_AGM
sol_optimas,29,406.0,TABU_ESTRUCTURA 160 25 300,13.8451,1650,2.484472049689444,TSP_AGM
sol_optimas,431,92665.0,TABU_CICLOS 160 25 300,13524.6,181673,5.984925385324431,TSP_AGM
sol_optimas,431,92665.0,TABU_ESTRUCTURA 160 25 300,1558.29,181821,6.071266057614906,TSP_AGM
sol_optimas,417,86736.0,TABU_CICLOS 160 25 300,9100.36,12471,5.1429053199561565,TSP_AGM
sol_optimas,417,86736.0,TABU_ESTRUCTURA 160 25 300,1509.67,12479,5.210353258578522,TSP_AGM
sol_optimas,299,44551.0,TABU_CICLOS 160 25 300,4454.17,50063,3.884542756946317,TSP_AGM
sol_optimas,299,44551.0,TABU_ESTRUCTURA 160 25 300,816.846,50168,4.10242576414683,TSP_AGM
sol_optimas,1002,501501.0,TABU_CICLOS 160 25 300,65884.8,273971,5.761933254839889,TSP_AGM
sol_optimas,1002,501501.0,TABU_ESTRUCTURA 160 25 300,9600.81,274048,5.791657820069872,TSP_AGM
sol_optimas,225,25200.0,TABU_CICLOS 160 25 300,2409.31,4057,3.5213064557285065,TSP_AGM
sol_optimas,225,25200.0,TABU_ESTRUCTURA 160 25 300,475.038,4063,3.674406736412351,TSP_AGM
sol_optimas,16,120.0,TABU_CICLOS 160 25 300,10.1477,6859,0.0,TSP_AGM
sol_optimas,16,120.0,TABU_ESTRUCTURA 160 25 300,4.39066,6859,0.0,TSP_AGM
sol_optimas,101,5050.0,TABU_CICLOS 160 25 300,367.505,643,2.2257551669316484,TSP_AGM
sol_optimas,101,5050.0,TABU_ESTRUCTURA 160 25 300,129.785,654,3.974562798092208,TSP_AGM
sol_optimas,1084,586986.0,TABU_CICLOS 160 25 300,100434.0,251120,4.940722198773912,TSP_AGM
sol_optimas,1084,586986.0,TABU_ESTRUCTURA 160 25 300,12267.6,251315,5.022210892739977,TSP_AGM
sol_optimas,124,7626.0,TABU_CICLOS 160 25 300,631.148,60801,3.0001694053870978,TSP_AGM
sol_optimas,124,7626.0,TABU_ESTRUCTURA 160 25 300,153.271,61017,3.366085041504334,TSP_AGM
